FID,BUILDINGID,FACILITYKE,SHORTNAME,LONGNAME,FLOORCOUNT,x,y
261, ,902, ,Building 902,0,-119.871255519000000,34.411568365900003
262, ,363, ,Coil Oil Point Reserve Office,1,-119.878257512000000,34.407722545900000
263, ,925, ,Building 925,0,-119.871186097000010,34.412374399599997
264, ,1121, ,Sierra Madre Laguna Village,3,-119.870722279000010,34.419460184599998
265, ,1880, ,Building 1880,0,-119.867011838000000,34.419047734199999
266, ,723, ,West Apartment 723,2,-119.872036259000000,34.418222771700002
267, ,784, ,Storke Apartments 784,3,-119.863230763999990,34.422993111899999
268, ,702, ,West Apartment 702,2,-119.871174290000000,34.417706219999999
269, ,791, ,Storke Apartments 791,2,-119.862486648000000,34.421568984600000
270, ,914, ,Building 914,0,-119.871653505000000,34.411328332399997
271, ,888, ,Manzanita Village Zaca Residence Hall,3,-119.851274548000010,34.409440815899998
272, ,300, ,Campus Learning Resources Building,1,-119.848119063000000,34.414082866400001
273, ,889, ,Manzanita Village Camuesa Residence Hall,3,-119.851663421000000,34.409554824399997
274, ,570, ,Chemistry Annex,1,-119.843472059000010,34.416472733299997
275, ,348, ,Facilities Management Storage 348,1,-119.852600251000000,34.420073415600001
276, ,367, ,West Storage 367,1,-119.870577221999990,34.414543690099997
277, ,948, ,Isla Vista Theater,0,-119.854969346000000,34.411346574400000
278, ,355, ,Orfalea Family Children's Center,1,-119.870812847000000,34.415118303600003
279, ,734, ,West Apartment 734,2,-119.872868358000010,34.418860744699998
280, ,558,UCEN,University Center,3,-119.847878200000000,34.411562376399999
281, ,779, ,Storke Apartments 779,3,-119.864020930000000,34.421293808100003
282, ,944, ,Cachuma Boat House,1,-119.870870164000000,34.412600825299997
283, ,955, ,Sierra Nevada ARL Residence 4,1,-119.869936839999990,34.412467910899998
284, ,775, ,Storke Apartments 775,3,-119.863790814000000,34.421325190200001
285, ,438, ,Building 438,0,-119.858578356000000,34.420186564500000
286, ,938, ,Building 938,0,-119.871094019000000,34.412938816699999
287, ,0, , ,0,-119.857837725000000,34.416718047800003
288, ,0, , ,0,-119.856341638999990,34.411705389700003
289, ,834, ,Building 834,0,-119.859188101000000,34.417736030299999
290, ,722, ,West Apartment 722,2,-119.872421703000000,34.418028502600002
291, ,556, ,Harold Frank Hall,6,-119.841414295000010,34.413768644800001
292, ,342, ,Marine Science Institude Trailer 342,1,-119.843860705000000,34.407980766599998
293, ,510, ,Central Garage Storage (Car Wash Building),1,-119.852043968000000,34.420246934900000
294, ,520, ,Marine Science Building,5,-119.842339022999990,34.412566163400001
295, ,839, ,San Clemente Parking IV,5,-119.854068067000000,34.418179105199997
296, ,7035, ,Building 7035,0,-119.875771985000000,34.410261707899998
297, ,568, ,Student Affairs and Administrative Services,5,-119.847274787000000,34.416129239100002
298, ,963, ,Sierra Nevada Aquatics Research Dormitory,1,-119.870179460000000,34.412261762000000
299, ,525, ,Davidson Library,10,-119.845474603000000,34.413776714199997
300, ,923, ,Building 923,0,-119.871167791000000,34.412112645400001
301, ,935, ,935,1,-119.871541916000000,34.412713380000000
302, ,759, ,Storke Apartments 759,3,-119.864005057000000,34.423035811200002
303, ,7940, ,West House 7940,1,-119.873386071000000,34.412998705900002
304, ,531, ,Music,4,-119.847128928000000,34.412163412699996
305, ,1873, ,Building 1873,0,-119.868246787999990,34.418836075300000
306, ,968, ,Building 968,0,-119.869864519000000,34.411978860500000
307, ,934, ,Building 934,0,-119.871610774999990,34.412818038499999
308, ,387, ,Modular Classroom 387,1,-119.845658714000000,34.411968692599999
309, ,932, ,Building 932,0,-119.871378793999990,34.413082139499998
310, ,798, ,Storke Apartments 798,2,-119.864780092000000,34.420448002999997
311, ,942, ,942,1,-119.870888388000000,34.412935817200001
312, ,7966, ,DEV7966,1,-119.874244550000000,34.410544812799998
313, ,954, ,Sierra Nevada ARL Residence 3,1,-119.869995223000000,34.412432444700002
314, ,697, ,Engineering Trailer 697,1,-119.842727104000010,34.413707324900003
315, ,1126, ,Sierra Madre Miramar Center,1,-119.870766387000000,34.419936213900002
316, ,595, ,Central Garage,2,-119.851837159000000,34.420495431200003
317, ,402, ,Building 402,2,-119.844749355000000,34.416799805300002
318, ,762, ,Storke Apartments 762,3,-119.863576975000000,34.422521115999999
319, ,517, ,Mosher Alumno House,3,-119.845489240000010,34.417378046000003
320, ,543, ,University House,1,-119.843878084000000,34.408978459600000
321, ,7095, ,West Cottage 7095,1,-119.876765457000000,34.409831220000001
322, ,783, ,Storke Apartments 783,3,-119.863920674000000,34.422093638299998
323, ,890, ,Manzanita Village Pendola Residence Hall,4,-119.852024930000000,34.409632057099998
324, ,553, ,San Miguel Residence Hall,10,-119.847080082999990,34.410215883399999
325, , , ,Engineering Trailer 942,1,-119.843923296000000,34.413942191300002
326, ,947, ,Westgate Apartments,2,-119.870462868000000,34.412845258300003
327, ,529, ,Main Sewer Pump,3,-119.836490613000000,34.415736621500002
328, ,360, ,West Animal Compound,1,-119.870789797000000,34.414542024100001
329, ,588, ,Student Health,1,-119.852620404000010,34.415455933200001
330, ,885, ,Manzanita Village Montecito Residence Hall,3,-119.851581749000000,34.409270341300001
331, ,952, ,Sierra Nevada ARL Residence 1,1,-119.870309025000000,34.412525256599999
332, ,542, ,Ortega Dining Commons,2,-119.846975029000010,34.410985941600003
333, ,961, ,Snarl Green Church,1,-119.869894079999990,34.412261046600001
334, ,819, ,Santa Ynez Apartments 819,2,-119.861329088000010,34.418880950099997
335, ,504, ,Bio Science Instructional Facility,3,-119.843156175000000,34.412178521800001
336, ,254, ,Parking III (aka Parking 22),7,-119.852587599000000,34.413601401999998
337, ,770, ,Storke Apartments 770,3,-119.863954185000000,34.421631672499998
338, ,1881, ,Building 1881,0,-119.866788159000000,34.418909870500002
339, ,7930, ,Building 7930,0,-119.873135063000010,34.413261115200001
340, ,769, ,Storke Apartments 769,3,-119.864146214000000,34.421808267199999
341, ,737, ,West Laundry,1,-119.872548498000000,34.417868825600003
342, ,250, ,Mesa Parking (aka Parking 18),4,-119.847624893000000,34.417490491300001
343, ,878, ,Manzanita Village Cienega Residence Hall,4,-119.853213008000000,34.409089965400000
344, ,6990, ,Building 6990,0,-119.873949967000000,34.411745255200003
345, ,588,UCEN,Multi-Cultural Center,2,-119.846617636000000,34.411546213500003
346, ,516, ,Recreation Center,2,-119.849023229000000,34.418206076700002
347, ,352, ,West Art 352 - Child Care,1,-119.870200138000000,34.416130943399999
348, ,587, ,San Rafael Cluster,3,-119.852490264000000,34.410722397500003
349, ,813, ,Santa Ynez Apartments 813,2,-119.861822558000000,34.419400353100002
350, ,7905, ,Building 7905,0,-119.872390662000000,34.413118430499999
351, ,829, ,Santa Ynez apartments 829,2,-119.861404386000000,34.419912098200001
352, ,252, ,Parking II (aka Parking 10),5,-119.840525556000000,34.415327344100000
353, ,547, ,Anacapa Residence Hall,2,-119.843015941999990,34.411036254899997
354, ,911, ,Building 911,0,-119.872078071000000,34.411358787499999
355, ,7920, ,Building 7920,0,-119.872907234000000,34.413245634699997
356, ,708, ,West Apartment 708,2,-119.871318805000000,34.418572994300000
357, ,533,Rob Gym,Robertson Gym,3,-119.849236285000000,34.416178932999998
358, ,972, ,972,1,-119.870108845999990,34.411664652200002
359, ,322, ,Relocatable 322,1,-119.845353389000000,34.410780800799998
360, ,565, ,Environmental Health and Safety,2,-119.850592236000000,34.420337328599999
361, ,793, ,Storke Apartments 793,3,-119.862188974000010,34.422255563199997
362, ,7060, ,Building 7060,0,-119.876583276999990,34.411246797099999
363, ,477, ,Building 477,1,-119.848477053000000,34.413644247199997
364, ,370, ,Facilities Management Trailer 370,1,-119.852537966000000,34.420144467900002
365, ,1125, ,Sierra Madre Havasu Village,3,-119.872258227000000,34.419769639000002
366, ,728, ,West Apartment 728,2,-119.872384283000000,34.419171843999997
367, ,1864, ,Building 1864,0,-119.869219097000000,34.418541657200002
368, ,887, ,Manzanita Village Rincon Residence Hall,3,-119.851329865000000,34.408588268700001
369, ,451, ,Building 451,1,-119.843641490000000,34.416814083299997
370, ,324, ,Bike Shop,1,-119.849320327000000,34.414399474800000
371, ,7965, ,DEV7965,1,-119.873286766000010,34.410461390999998
372, ,357, ,West Leisure Service Storage,2,-119.869961374000000,34.414500494400002
373, ,946, ,Westwinds Apartments,0,-119.870551516000010,34.412633934500001
374, ,881, ,Manzanita Village Miranda Residence Hall,3,-119.852480064999990,34.408848394000003
375, ,974, ,Building 974,0,-119.870464852000000,34.411510365300003
376, ,577, ,Baseball Lockers,1,-119.851886742999990,34.418109793299998
377, ,706, ,West Apartment 706,2,-119.870843802000000,34.418163480099999
378, ,877, ,Manzanita Village Tecolote Residence Hall,3,-119.853095846000000,34.408756638900002
379, ,465, ,Aquarium Facility,2,-119.843466895000010,34.407642888700003
380, ,583, ,Bird Aviary,1,-119.858195445000010,34.420099160299998
381, ,567, ,Kohn Hall,2,-119.840454941999990,34.414430953199997
382, ,569, ,Biology Research Lab,2,-119.843661603000000,34.412901581100002
383, ,535, ,North Hall,3,-119.846374315000010,34.414893587199998
384, ,776, ,Storke Apartments 776,2,-119.864786470000000,34.422390007700002
385, ,615, ,Materials Research Lab,4,-119.841571869000010,34.414151670000003
386, ,811, ,Santa Ynez Apartments 811,2,-119.863538017000000,34.418876201400003
387, ,771, ,Storke Apartments 771,3,-119.862319043000000,34.422065747100000
388, ,1874, ,Building 1874,0,-119.867964742000000,34.418835314500001
389, ,220, ,Building 220,1,-119.851243862000000,34.419224074100001
390, , , ,Engineering Trailer 937,1,-119.843923020000010,34.414198800900003
391, ,359, ,West Storage 359,1,-119.869992354000000,34.414753266399998
392, ,1876, ,Building 1876,0,-119.867563969000000,34.418993166400000
393, ,205, ,Filter / Reservoir House,1,-119.843255349000000,34.407496126700003
394, ,825, ,Santa Ynez Apartments 825,2,-119.861823144000000,34.417889954400003
395, ,7910, ,Building 7910,0,-119.872024792000000,34.412619814499998
396, ,530, ,Centennial House Conference Facility,1,-119.843577404000000,34.409067297400000
397, ,973, ,Building 973,0,-119.870247357000000,34.411674790699998
398, ,479, ,Old Gym and Pool,1,-119.848160222999990,34.414558135500002
399, ,540, ,Greenhouse 540,1,-119.843325039000010,34.412858675899997
400, ,777, ,Storke Apartments 777,3,-119.864453401000010,34.421942673600000
401, ,6980, ,Building 6980,0,-119.874156751000000,34.412040587500002
402, ,879, ,Manzanita Village Jalama Residence Hall,4,-119.852967996999990,34.409291941699998
403, ,824, ,Santa Ynez Apartments 824,2,-119.862594902000000,34.417930298700000
404, ,585, ,North Water Pump Station,1,-119.853812967000000,34.421602438500003
405, ,544, ,Noble Hall,2,-119.843758152000010,34.412582796099997
406, ,761, ,Storke Apartments 761,3,-119.862894549999990,34.422965448200003
407, ,882, ,Manzanita Village Gaviota Residence Hall,3,-119.851880154000000,34.408667091900000
408, ,549, ,De La Guerra Dining Commons,2,-119.844945206000010,34.409649313199999
409, ,892, ,Manzanita Village Madulce Residence Hall,3,-119.851795198999990,34.410210382599999
410, ,785, ,Storke Apartments 785,3,-119.863503353000000,34.422981973900001
411, ,381, ,Parking Services,1,-119.852905577000000,34.419652556599999
412, ,7985, ,Building 7985,0,-119.872718727000010,34.411823331699999
413, ,351, ,Building 351,1,-119.870140395000010,34.416537298300000
414, ,875, ,Manzanita Village De Anza Residence Hall,3,-119.852815000000010,34.409597017999999
415, ,522, ,Building 522,1,-119.852676688000000,34.418498468400003
416, ,903, ,Building 903,0,-119.871265424000000,34.411458971700000
417, ,225, ,Engineering Science,3,-119.841269942000000,34.415584418599998
418, ,562, ,Carillo Dining Commons,3,-119.852776136000000,34.409973193299997
419, ,439, ,Facilities Management Building 439,1,-119.852893638000000,34.420567505599998
420, , , , ,0,-119.878467749000000,34.421846191299998
421, , , , ,0,-119.878482015000000,34.422027057000001
422, , , , ,0,-119.878509963000000,34.422207484399998
423, , , , ,0,-119.878672910000010,34.422434820799999
424, , , , ,0,-119.878893912000000,34.422677938900001
425, , , , ,0,-119.880823650000000,34.423093490399999
426, , , , ,0,-119.880980846000000,34.422931394400003
427, , , , ,0,-119.880765704000000,34.422804949000003
428, , , , ,0,-119.880441756000000,34.422918971900003
429, , , , ,0,-119.880315877000000,34.422763266200000
430, , , , ,0,-119.880316033000000,34.422470994299999
431, , , , ,0,-119.880086723999990,34.422457465800001
432, ,945, ,El Dorado Apartments,2,-119.861220153999990,34.416429782599998
433, ,946, ,Westwinds Apartments,0,-119.860784807000000,34.416783284099999
434, ,949, ,Pardall Center,0,-119.856145649000000,34.413313051599999
435, , ,0,Tropicana Del Norte,3,-119.854753898000000,34.416929971300000
436, ,998, ,Building #998,0,-119.853858448000000,34.411306216200003
